observation_date,BOPGSTB
1992-01-01,-1833
1992-04-01,-3284
1992-07-01,-3589
1992-10-01,-4364
1993-01-01,-4748
1993-04-01,-5914
1993-07-01,-6331
1993-10-01,-6443
1994-01-01,-7306
1994-04-01,-7998
1994-07-01,-8451
1994-10-01,-9076
1995-01-01,-9283
1995-04-01,-9774
1995-07-01,-6772
1995-10-01,-6300
1996-01-01,-7847
1996-04-01,-8488
1996-07-01,-10228
1996-10-01,-8126
1997-01-01,-9809
1997-04-01,-7878
1997-07-01,-8348
1997-10-01,-10055
1998-01-01,-11740
1998-04-01,-13796
1998-07-01,-14932
1998-10-01,-14911
1999-01-01,-17354
1999-04-01,-20295
1999-07-01,-22808
1999-10-01,-24812
2000-01-01,-29161
2000-04-01,-29389
2000-07-01,-31505
2000-10-01,-33174
2001-01-01,-32438
2001-04-01,-28922
2001-07-01,-29404
2001-10-01,-29360
2002-01-01,-31113
2002-04-01,-34241
2002-07-01,-35462
2002-10-01,-39406
2003-01-01,-41681
2003-04-01,-40926
2003-07-01,-41018
2003-10-01,-41789
2004-01-01,-45317
2004-04-01,-49668
2004-07-01,-52313
2004-10-01,-56314
2005-01-01,-55806
2005-04-01,-57168
2005-07-01,-60643
2005-10-01,-65231
2006-01-01,-63891
2006-04-01,-63740
2006-07-01,-66760
2006-10-01,-60120
2007-01-01,-59559
2007-04-01,-60021
2007-07-01,-58539
2007-10-01,-58879
2008-01-01,-61921
2008-04-01,-62311
2008-07-01,-63225
2008-10-01,-49993
2009-01-01,-32771
2009-04-01,-27821
2009-07-01,-33409
2009-10-01,-37589
2010-01-01,-39840
2010-04-01,-43633
2010-07-01,-43854
2010-10-01,-40369
2011-01-01,-45729
2011-04-01,-46764
2011-07-01,-44866
2011-10-01,-47481
2012-01-01,-47552
2012-04-01,-44963
2012-07-01,-41743
2012-10-01,-41044
2013-01-01,-38484
2013-04-01,-38205
2013-07-01,-37630
2013-10-01,-34635
2014-01-01,-40164
2014-04-01,-40735
2014-07-01,-39181
2014-10-01,-41238
2015-01-01,-40500
2015-04-01,-40254
2015-07-01,-42062
2015-10-01,-40776
2016-01-01,-40050
2016-04-01,-39600
2016-07-01,-39027
2016-10-01,-41142
2017-01-01,-41488
2017-04-01,-43597
2017-07-01,-42279
2017-10-01,-44949
2018-01-01,-46458
2018-04-01,-44120
2018-07-01,-49931
2018-10-01,-52355
2019-01-01,-48209
2019-04-01,-49668
2019-07-01,-47237
2019-10-01,-41351
2020-01-01,-42793
2020-04-01,-52483
2020-07-01,-60021
2020-10-01,-62600
2021-01-01,-65094
2021-04-01,-68213
2021-07-01,-73420
2021-10-01,-75962
2022-01-01,-91516
2022-04-01,-83615
2022-07-01,-70260
2022-10-01,-69530
2023-01-01,-66934
2023-04-01,-67876
2023-07-01,-62153
2023-10-01,-64667
2024-01-01,-67747
2024-04-01,-75075
2024-07-01,-77861
2024-10-01,
