observation_date,RSXFS
1992-01-01,146984
1992-04-01,148947
1992-07-01,151472
1992-10-01,154239
1993-01-01,156191
1993-04-01,159904
1993-07-01,162860
1993-10-01,166480
1994-01-01,169978
1994-04-01,173225
1994-07-01,176954
1994-10-01,180929
1995-01-01,180971
1995-04-01,183768
1995-07-01,186534
1995-10-01,188798
1996-01-01,191810
1996-04-01,195695
1996-07-01,197088
1996-10-01,200656
1997-01-01,203882
1997-04-01,203258
1997-07-01,207658
1997-10-01,208792
1998-01-01,210017
1998-04-01,214870
1998-07-01,214732
1998-10-01,221265
1999-01-01,225888
1999-04-01,230725
1999-07-01,235998
1999-10-01,241194
2000-01-01,246798
2000-04-01,246731
2000-07-01,248863
2000-10-01,250737
2001-01-01,251895
2001-04-01,254668
2001-07-01,252467
2001-10-01,261687
2002-01-01,257012
2002-04-01,259564
2002-07-01,262813
2002-10-01,263817
2003-01-01,266079
2003-04-01,268318
2003-07-01,275916
2003-10-01,276891
2004-01-01,282018
2004-04-01,285112
2004-07-01,289479
2004-10-01,297018
2005-01-01,299520
2005-04-01,305508
2005-07-01,311413
2005-10-01,312418
2006-01-01,321129
2006-04-01,322513
2006-07-01,324255
2006-10-01,324290
2007-01-01,328571
2007-04-01,331613
2007-07-01,333984
2007-10-01,338284
2008-01-01,335730
2008-04-01,337034
2008-07-01,333053
2008-10-01,303396
2009-01-01,296201
2009-04-01,297428
2009-07-01,304286
2009-10-01,306414
2010-01-01,310810
2010-04-01,316292
2010-07-01,317569
2010-10-01,327000
2011-01-01,334889
2011-04-01,340109
2011-07-01,342949
2011-10-01,348806
2012-01-01,356180
2012-04-01,354842
2012-07-01,357820
2012-10-01,362867
2013-01-01,369356
2013-04-01,369090
2013-07-01,372534
2013-10-01,374485
2014-01-01,377846
2014-04-01,386940
2014-07-01,389524
2014-10-01,389972
2015-01-01,386943
2015-04-01,393386
2015-07-01,397110
2015-10-01,395590
2016-01-01,396191
2016-04-01,400657
2016-07-01,404373
2016-10-01,408428
2017-01-01,415364
2017-04-01,415707
2017-07-01,419840
2017-10-01,430315
2018-01-01,432476
2018-04-01,437617
2018-07-01,439448
2018-10-01,441795
2019-01-01,441599
2019-04-01,448589
2019-07-01,453844
2019-10-01,455735
2020-01-01,447339
2020-04-01,431485
2020-07-01,484582
2020-10-01,490842
2021-01-01,520285
2021-04-01,549467
2021-07-01,541894
2021-10-01,558613
2022-01-01,577282
2022-04-01,591594
2022-07-01,589640
2022-10-01,588632
2023-01-01,597459
2023-04-01,596552
2023-07-01,604196
2023-10-01,606811
2024-01-01,606234
2024-04-01,608818
2024-07-01,616635
2024-10-01,
