observation_date,UNRATE
1992-01-01,7.4
1992-04-01,7.6
1992-07-01,7.6
1992-10-01,7.4
1993-01-01,7.1
1993-04-01,7.1
1993-07-01,6.8
1993-10-01,6.6
1994-01-01,6.6
1994-04-01,6.2
1994-07-01,6.0
1994-10-01,5.6
1995-01-01,5.5
1995-04-01,5.7
1995-07-01,5.7
1995-10-01,5.6
1996-01-01,5.5
1996-04-01,5.5
1996-07-01,5.3
1996-10-01,5.3
1997-01-01,5.2
1997-04-01,5.0
1997-07-01,4.9
1997-10-01,4.7
1998-01-01,4.6
1998-04-01,4.4
1998-07-01,4.5
1998-10-01,4.4
1999-01-01,4.3
1999-04-01,4.3
1999-07-01,4.2
1999-10-01,4.1
2000-01-01,4.0
2000-04-01,3.9
2000-07-01,4.0
2000-10-01,3.9
2001-01-01,4.2
2001-04-01,4.4
2001-07-01,4.8
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.8
2002-07-01,5.7
2002-10-01,5.9
2003-01-01,5.9
2003-04-01,6.1
2003-07-01,6.1
2003-10-01,5.8
2004-01-01,5.7
2004-04-01,5.6
2004-07-01,5.4
2004-10-01,5.4
2005-01-01,5.3
2005-04-01,5.1
2005-07-01,5.0
2005-10-01,5.0
2006-01-01,4.7
2006-04-01,4.6
2006-07-01,4.6
2006-10-01,4.4
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,4.7
2007-10-01,4.8
2008-01-01,5.0
2008-04-01,5.3
2008-07-01,6.0
2008-10-01,6.9
2009-01-01,8.3
2009-04-01,9.3
2009-07-01,9.6
2009-10-01,9.9
2010-01-01,9.8
2010-04-01,9.6
2010-07-01,9.5
2010-10-01,9.5
2011-01-01,9.0
2011-04-01,9.1
2011-07-01,9.0
2011-10-01,8.6
2012-01-01,8.3
2012-04-01,8.2
2012-07-01,8.0
2012-10-01,7.8
2013-01-01,7.7
2013-04-01,7.5
2013-07-01,7.2
2013-10-01,6.9
2014-01-01,6.7
2014-04-01,6.2
2014-07-01,6.1
2014-10-01,5.7
2015-01-01,5.5
2015-04-01,5.4
2015-07-01,5.1
2015-10-01,5.0
2016-01-01,4.9
2016-04-01,4.9
2016-07-01,4.9
2016-10-01,4.8
2017-01-01,4.6
2017-04-01,4.4
2017-07-01,4.3
2017-10-01,4.2
2018-01-01,4.0
2018-04-01,3.9
2018-07-01,3.8
2018-10-01,3.8
2019-01-01,3.9
2019-04-01,3.6
2019-07-01,3.6
2019-10-01,3.6
2020-01-01,3.8
2020-04-01,13.0
2020-07-01,8.8
2020-10-01,6.7
2021-01-01,6.2
2021-04-01,5.9
2021-07-01,5.1
2021-10-01,4.2
2022-01-01,3.8
2022-04-01,3.6
2022-07-01,3.5
2022-10-01,3.6
2023-01-01,3.5
2023-04-01,3.6
2023-07-01,3.7
2023-10-01,3.7
2024-01-01,3.8
2024-04-01,4.0
2024-07-01,4.2
2024-10-01,
