Entity,Code,Day,Monthly concentration of atmospheric methane,Rolling yearly average of the concentration of atmospheric methane
World,OWID_WRL,1983-07-15,1625.98,
World,OWID_WRL,1983-08-15,1628.04,
World,OWID_WRL,1983-09-15,1638.43,
World,OWID_WRL,1983-10-15,1644.82,
World,OWID_WRL,1983-11-15,1642.58,
World,OWID_WRL,1983-12-15,1639.54,
World,OWID_WRL,1984-01-15,1638.8,
World,OWID_WRL,1984-02-15,1638.84,
World,OWID_WRL,1984-03-15,1640.87,
World,OWID_WRL,1984-04-15,1643.98,
World,OWID_WRL,1984-05-15,1643.13,
World,OWID_WRL,1984-06-15,1639.74,1638.7291
World,OWID_WRL,1984-07-15,1638,1639.7308
World,OWID_WRL,1984-08-15,1641.66,1640.8658
World,OWID_WRL,1984-09-15,1650.61,1641.8809
World,OWID_WRL,1984-10-15,1654.62,1642.6975
World,OWID_WRL,1984-11-15,1653.78,1643.6309
World,OWID_WRL,1984-12-15,1656.21,1645.02
World,OWID_WRL,1985-01-15,1655.62,1646.4216
World,OWID_WRL,1985-02-15,1652.23,1647.5375
World,OWID_WRL,1985-03-15,1654.6,1648.6816
World,OWID_WRL,1985-04-15,1658.21,1649.8674
World,OWID_WRL,1985-05-15,1655.86,1650.9283
World,OWID_WRL,1985-06-15,1650.05,1651.7875
World,OWID_WRL,1985-07-15,1646.82,1652.5225
World,OWID_WRL,1985-08-15,1652.22,1653.4025
World,OWID_WRL,1985-09-15,1662.49,1654.3925
World,OWID_WRL,1985-10-15,1667.52,1655.4675
World,OWID_WRL,1985-11-15,1666.79,1656.5516
World,OWID_WRL,1985-12-15,1666.05,1657.3717
World,OWID_WRL,1986-01-15,1666.3,1658.2617
World,OWID_WRL,1986-02-15,1666.91,1659.485
World,OWID_WRL,1986-03-15,1669.26,1660.7067
World,OWID_WRL,1986-04-15,1670.82,1661.7576
World,OWID_WRL,1986-05-15,1668.43,1662.805
World,OWID_WRL,1986-06-15,1664.77,1664.0317
World,OWID_WRL,1986-07-15,1662.34,1665.325
World,OWID_WRL,1986-08-15,1664.36,1666.3367
World,OWID_WRL,1986-09-15,1672.58,1667.1775
World,OWID_WRL,1986-10-15,1678.7,1668.1091
World,OWID_WRL,1986-11-15,1678.97,1669.1241
World,OWID_WRL,1986-12-15,1679.11,1670.2125
World,OWID_WRL,1987-01-15,1679.4,1671.3042
World,OWID_WRL,1987-02-15,1679.02,1672.3134
World,OWID_WRL,1987-03-15,1680.06,1673.2134
World,OWID_WRL,1987-04-15,1681.38,1674.0934
World,OWID_WRL,1987-05-15,1681.83,1675.21
World,OWID_WRL,1987-06-15,1679.99,1676.4783
World,OWID_WRL,1987-07-15,1675.98,1677.615
