Entity,Code,Day,Monthly concentration of atmospheric nitrous oxide,Rolling yearly average of the concentration of atmospheric nitrous oxide
World,OWID_WRL,2001-01-15,316.3,
World,OWID_WRL,2001-02-15,316.31,
World,OWID_WRL,2001-03-15,316.21,
World,OWID_WRL,2001-04-15,316.12,
World,OWID_WRL,2001-05-15,316.11,
World,OWID_WRL,2001-06-15,316.16,
World,OWID_WRL,2001-07-15,316.23,
World,OWID_WRL,2001-08-15,316.3,
World,OWID_WRL,2001-09-15,316.41,
World,OWID_WRL,2001-10-15,316.59,
World,OWID_WRL,2001-11-15,316.76,
World,OWID_WRL,2001-12-15,316.87,316.36417
World,OWID_WRL,2002-01-15,316.93,316.41666
World,OWID_WRL,2002-02-15,316.97,316.47168
World,OWID_WRL,2002-03-15,316.96,316.53418
World,OWID_WRL,2002-04-15,316.9,316.59915
World,OWID_WRL,2002-05-15,316.85,316.66083
World,OWID_WRL,2002-06-15,316.83,316.71667
World,OWID_WRL,2002-07-15,316.82,316.76584
World,OWID_WRL,2002-08-15,316.82,316.80917
World,OWID_WRL,2002-09-15,316.88,316.84833
World,OWID_WRL,2002-10-15,316.99,316.88165
World,OWID_WRL,2002-11-15,317.14,316.91333
World,OWID_WRL,2002-12-15,317.24,316.94415
World,OWID_WRL,2003-01-15,317.3,316.975
World,OWID_WRL,2003-02-15,317.34,317.00583
World,OWID_WRL,2003-03-15,317.41,317.04333
World,OWID_WRL,2003-04-15,317.47,317.09082
World,OWID_WRL,2003-05-15,317.51,317.14584
World,OWID_WRL,2003-06-15,317.53,317.20416
World,OWID_WRL,2003-07-15,317.57,317.26666
World,OWID_WRL,2003-08-15,317.63,317.33417
World,OWID_WRL,2003-09-15,317.77,317.40833
World,OWID_WRL,2003-10-15,317.93,317.48666
World,OWID_WRL,2003-11-15,318.04,317.56168
World,OWID_WRL,2003-12-15,318.11,317.63416
World,OWID_WRL,2004-01-15,318.18,317.7075
World,OWID_WRL,2004-02-15,318.2,317.77917
World,OWID_WRL,2004-03-15,318.17,317.8425
World,OWID_WRL,2004-04-15,318.14,317.89835
World,OWID_WRL,2004-05-15,318.14,317.95084
World,OWID_WRL,2004-06-15,318.13,318.00082
World,OWID_WRL,2004-07-15,318.14,318.04834
World,OWID_WRL,2004-08-15,318.18,318.09418
World,OWID_WRL,2004-09-15,318.23,318.1325
World,OWID_WRL,2004-10-15,318.35,318.1675
World,OWID_WRL,2004-11-15,318.56,318.21085
World,OWID_WRL,2004-12-15,318.77,318.26584
World,OWID_WRL,2005-01-15,318.87,318.32333
World,OWID_WRL,2005-02-15,318.89,318.38083
World,OWID_WRL,2005-03-15,318.86,318.43832
World,OWID_WRL,2005-04-15,318.78,318.49167
World,OWID_WRL,2005-05-15,318.66,318.535
World,OWID_WRL,2005-06-15,318.59,318.57333
World,OWID_WRL,2005-07-15,318.65,318.61584
World,OWID_WRL,2005-08-15,318.77,318.665
